Country,Men,Women
Germany,Lederhosen,Dirndl
Japan,Kimono or Hakama,Kimono or Yukata
India,Kurta-Pajama or Sherwani,Sari or Salwar Kameez
Mexico,Charro suit,Huipil or Quechquémitl
China,Changshan,Qipao or Hanfu
Russia,Kosovorotka or Ushanka,Sarafan
Scotland,Kilt,Tartan skirt
Spain,Matador outfit,Flamenco dress
Greece,Fustanella,Amalia dress
South Korea,Jeogori or Baji,Hanbok
Norway,Bunad (both genders),Bunad
Nigeria,Agbada or Buba,Iro or Gele
Brazil,Bombacha (Southern region),Baiana dress
Saudi Arabia,Thobe or Ghutra,Abaya
Peru,Poncho,Pollera
Armenia,Chokha,Taraz
Azerbaijan,Chokha,Kelaghayi
Bahrain,Thawb,Abaya
Bangladesh,Panjabi or Sherwani,Jamdani Sari or Salwar Kameez
Barbados,Shirt Jac,Madras dress
Belarus,Zhupan,Vyshivanka or Poneva
Bolivia,Chullo hat or Poncho,Bolivian pollera or Manta
Bhutan,Gho,Kira
Bulgaria,Kenar or Poturi,Sayana or Elek
Cambodia,Sampot Chorabap,Sampot Chang Kben
Cameroon,Gandoura,Kabba
Chile,Chamanto or Huaso boots,China dress
Colombia,Sombrero Vueltiao or Ruana,Cumbia dress or Pollera Colorá
Costa Rica,Camisa de chaleco,Traje típico campesino
Cuba,Guayabera,Rumba dress
Czechia,Vests or Breeches,Kroje or Bonnets
Dominican Republic,Chacabana,Traje típico
Egypt,Galabeya,Galabeya or Belly dance costumes
El Salvador,Camisa campesina,Traje de indígena
Estonia,Vatt or Püksid,Rahvarõivas or Sukad
Ethiopia,Kitet,Habesha kemis
Fiji,Sulu Jaba,Jaba
Finland,Luhkka or Sami boots,Hame
Georgia,Chokha or Papakhi,Kaba
Ghana,Kente cloth or Batakari,Kente dress
Greece,Tsarouchis or Cretan boots,Karagouna or Amalia dress
Guatemala,Guayabera,Huipil or Corte
Honduras,Camisa de manta,Traje típico
Hungary,Bocskai suit or Csizma,Blouse or Skirt
Iceland,Íslensk þjóðbúningurinn karl,Íslensk þjóðbúningurinn kona
Indonesia,Batik shirt or Beskap,Kebaya or Sarong
Iran,Qabaq or Giveh,Chador or Manteau
Iraq,Dishdasha,Abaya
Ireland,Aran sweater or Tweed,Celtic dress
Israel,Kova tembel,Traditional embroidered dress
Italy,Breeches or Waistcoats,Sardinian dress or Neapolitan dress
Jamaica,Bandana suit,Bandana skirt and blouse
Jordan,Shmagh or Thobe,Thobe or Hijab
Kazakhstan,Shapan or Kalpak,Saukele or Koylek
Kenya,Kikoy or Maasai shuka,Kitenge or Kanga
Kuwait,Dishdasha or Ghutrah,Abaya
Kyrgyzstan,Kalpak or Chapan,Elechek or Kurak
Latvia,Tautas terpi pants,Tautas terpi dress
Lebanon,Sherwal,Abaya or Tarha
Lithuania,Žemaitukas,Lietuvininkai
Luxembourg,Gielekapp,Coiffe
Madagascar,Lamba hoany,Lamba
Malaysia,Baju Melayu or Songkok,Baju Kurung or Tudung
Maldives,Mundu or Fez,Dhivehi libaas or Hijaab
Malta,Ghonnella (historical),Faldetta
Mauritania,Daraa,Melhfa
Mexico,Charro suit,China poblana or Rebozo
Mongolia,Deel or Gutal,Deel
Morocco,Djellaba or Fez,Caftan or Takchita
Myanmar,Taikpon or Gaungbaung,Longyi or Thanaka
Nepal,Daura Suruwal or Topi,Gunyo Cholo or Mala
Nigeria,Agbada or Fila,Buba or Iro or Gele
North Macedonia,Jelek or Abadziluk,Elek or Marama
Norway,Bunad (both genders),Bunad
Oman,Dishdasha or Massar,Abaya or Omani cap
Pakistan,Shalwar kameez or Sherwani,Shalwar kameez or Dupatta
Panama,Montuno,Pollera
Peru,Poncho or Chullo,Pollera or Manta
Philippines,Barong Tagalog or Salakot,Baro't Saya
Poland,?upan or Kontusz,Krakowiak or Wianek
Portugal,Vests or Calças,Minho dress or Shawl
Romania,C?ma?? or Opinci,Ie or Fust?
Russia,Kosovorotka or Ushanka,Sarafan or Kokoshnik
Saudi Arabia,Thobe or Ghutra,Abaya
Serbia,Šajka?a or Opanci,Ježevica or Pojas
Slovakia,Shirt or Waistcoat,Kroj
Slovenia,Opanci,Gorenjska noša
South Korea,Jeogori or Baji,Hanbok
Spain,Matador outfit,Flamenco dress
Sri Lanka,Sarong or Kurta,Osariya
Sweden,Byxor or Vest,Folkdräkt or Skor
Switzerland,Breeches or Waistcoat,Dirndl or Blouse
Syria,Thawb,Abaya
Tajikistan,Kurta or Don,Kurti or Scarf
Thailand,Pha Khao Ma or Chong kraben,Chut Thai
Turkey,Yelek or ?alvar,Kaftan
Turkmenistan,Chapan or Telpek,Dress or Scarf
Ukraine,Vyshyvanka or Sharovary,Vyshyvanka or Plakhta
United Arab Emirates,Kandura or Ghutra,Abaya or Shayla
Uzbekistan,Chapan or Doppa,Kurta or Scarf
Vietnam,Áo g?m,Áo Dài
Yemen,Thawb or Jambia,Sitara
Zimbabwe,Jerse,Dzidzai
