ID_track,ID_isrc,ID_artist,ID_album,song_name,song_artist,album_name,album_type,album_label,album_popularity,album_release_date,album_release_year,album_total_tracks,artist_popularity,artist_genres,artist_followers,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,duration_sec,duration_min,end_of_fade_in,start_of_fade_out,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence
6TtIjWAaPJ8ac4MyTOJrSb,GBCEJ1600187,1vfusWMe7GXj7agfmDqcpe,6abvAeEDSrG5QFaweC5mkS,Blood Moon,Giraffe Tongue Orchestra,Broken Lines,album,Party Smasher Inc,28,2016-09-23,2016,10,24,genres TODO,19822,0.665,0.892,-6.415,0.0469,0.0067,4.6e-05,0.327,0.428,199500,199.5,3.325,7.49424,190.89125,120.02,0.59,4,1.0,10,0.476,0,0.767
38OkrMgJXenpMCTpjw51RC,CH6542053747,358aVgId2jUiL2HnPZa76q,66AVeimiGW2y1p2PS4h30n,People from the Dark Hill - The Algorithm Remix,Aura Shred,Before the Next Remixes,album,iM Electronica,15,2020-11-13,2020,9,22,genres TODO,1328,0.511,0.995,-6.997,0.0625,0.00102,0.891,0.142,0.0365,217500,217.5,3.625,0.0,208.60226,128.006,0.738,4,0.695,8,0.672,1,0.621
0vO8MmB2WjZWswEs6DLd8R,UK2SX2205061,5W5WG8x5yc4J5RYeJ5C690,1cmOw2q1JFnVPzWqReySBm,Ayan - Premonition Mix,Petbrick,Ayan (Premonition Mix),single,Rocket Recordings,20,2022-05-05,2022,1,20,genres TODO,2916,0.524,0.864,-9.741,0.0904,0.0371,0.751,0.245,0.144,554251,554.251,9.238,7.37814,529.07245,165.021,0.759,4,0.858,7,0.44,1,0.415
3P3P9ZDRYD0wTatIR6dAXe,US4E41529813,3rLgIB7dHh2MGYpiOMajJI,00dtTOtZInCFixU93g6Amw,Gaia,Hexvessel,Earth over Us - Single,single,Century Media,17,2015-11-27,2015,2,27,genres TODO,19861,0.203,0.563,-9.708,0.0345,0.465,0.00173,0.109,0.0921,373443,373.443,6.224,0.0,365.9523,131.69,0.106,4,0.164,2,0.941,0,0.828
1tzOWOFuEwF0Bq528iet9t,SEWOL1500102,6Bz2ZeTKI0cyJwt7tBKoUU,2Zf4grj4wj3hxFSQoDeb5B,Back to the River,We Hunt Buffalo,Living Ghosts,album,Fuzzorama Records,20,2015-09-25,2015,10,28,genres TODO,13630,0.332,0.89,-5.922,0.0547,9.75e-05,0.458,0.279,0.39,303542,303.542,5.059,0.0,281.10657,150.157,0.035,3,0.966,5,0.669,1,0.573
5T4UjkEsXkComlGFAV2rKT,US4E40630207,2WLmgv66Uq4vt2i36vwkAq,5tapBTxtptQHT6X4XEqvD1,The Fallout,The Haunted,The Dead Eye (Deluxe Edition),album,Century Media,33,2006-07-13,2006,15,41,genres TODO,124296,0.497,0.697,-7.083,0.0282,4.56e-06,0.00573,0.0927,0.254,262667,262.667,4.378,3.12889,257.68344,90.023,0.216,4,0.71,1,0.544,0,0.728
09SvE4RSe1Unl1Ta2Fj98N,TCAFL2152234,06D0YfeNZgBA7XWQ79Y42R,031668YzIc2Lxmb8FiR8d9,Burning,King Buffalo,The Burden of Restlessness,album,King Buffalo,32,2021-06-04,2021,7,42,genres TODO,47805,0.674,0.637,-11.367,0.0386,0.000107,0.708,0.107,0.166,393138,393.138,6.552,3.59909,381.6548,128.015,0.539,4,1.0,10,0.173,0,0.297
4ZCfNZYY5WxIWMh4fuZhzY,SE34R1703801,2rVYWIbqIKx8d6hN4owg4A,2CyKr3HYH8l2T3s6J08IO3,Level 1,Al Lover,Nymphaea Caerulea EP,single,Höga Nord Rekords,21,2017-03-31,2017,6,28,genres TODO,6168,0.393,0.792,-6.796,0.0368,9.3e-06,0.769,0.0994,0.292,196054,196.054,3.268,3.51782,186.62457,156.627,0.205,4,1.0,7,0.51,0,0.516
5kSvN9dYAh9f5wwKlWmBPr,DEQ121113325,5iFI4j0w7RbSJmkbI6rqzi,6ldc1HWw2mUV3lrJeTjqoB,Warum,Knorkator,Es werde Nicht,album,tubareckorz,40,2011-09-16,2011,26,46,genres TODO,90235,0.484,0.803,-5.067,0.0409,0.000447,0.00318,0.0962,0.492,251437,251.437,4.191,0.48186,245.3072,75.016,0.019,4,1.0,7,0.761,1,0.635
1odxPoRXGFPUVlGra3SqoK,QZ4JJ1953158,2MIoyDjdxCUdnV59UqbJGk,2grZMJgSWGyf7vVdiYWHft,Initiation,Green Lung,Woodland Rites,album,Old Gods Ltd,32,2019-03-20,2019,8,34,genres TODO,28246,0.411,0.281,-8.719,0.0404,0.00556,0.303,0.361,0.218,152520,152.52,2.542,0.26703,152.52,120.08,0.319,4,1.0,0,0.275,0,0.5
